"date_time","value"
"05/09/2018 05:30:00","35.55"
"05/09/2018 05:00:00","37.85"
"05/09/2018 04:30:00","33.14"
"05/09/2018 04:00:00","36.72"
"05/09/2018 03:30:00","30.69"
"05/09/2018 03:00:00","32.62"
"05/09/2018 02:30:00","24.51"
"05/09/2018 02:00:00","26.28"
"05/09/2018 01:30:00","27.07"
"05/09/2018 01:00:00","24.17"
"05/09/2018 00:30:00","22.1"
"05/09/2018 00:00:00","32.54"
"04/09/2018 23:30:00","34.95"
"04/09/2018 23:00:00","30.8"
"04/09/2018 22:30:00","28.18"
"04/09/2018 22:00:00","29.53"
"04/09/2018 21:30:00","30.43"
"04/09/2018 21:00:00","36.39"
"04/09/2018 20:30:00","34.19"
"04/09/2018 20:00:00","36.92"
"04/09/2018 19:30:00","35.14"
"04/09/2018 19:00:00","30.33"
"04/09/2018 18:30:00","28.49"
"04/09/2018 18:00:00","29.69"
"04/09/2018 17:30:00","30.2"
"04/09/2018 17:00:00","30.93"
"04/09/2018 16:30:00","31.55"
"04/09/2018 16:00:00","34.9"
"04/09/2018 15:30:00","30.55"
"04/09/2018 15:00:00","32.47"
"04/09/2018 14:30:00","33.24"
"04/09/2018 14:00:00","33.7"
"04/09/2018 13:30:00","37.23"
"04/09/2018 13:00:00","37.86"
"04/09/2018 12:30:00","40.1"
"04/09/2018 12:00:00","45.1"
"04/09/2018 11:30:00","48.57"
"04/09/2018 11:00:00","36.03"
"04/09/2018 10:30:00","44.84"
"04/09/2018 10:00:00","47.56"
"04/09/2018 09:30:00","40.89"
"04/09/2018 09:00:00","43.1"
"04/09/2018 08:30:00","43.62"
"04/09/2018 08:00:00","42.29"
"04/09/2018 07:30:00","35.64"
"04/09/2018 07:00:00","33.78"
"04/09/2018 06:30:00","36.48"
"04/09/2018 06:00:00","30.35"
"04/09/2018 05:30:00","30.82"
"04/09/2018 05:00:00","33.45"
"04/09/2018 04:30:00","35.74"
"04/09/2018 04:00:00","37.85"
"04/09/2018 03:30:00","31.16"
"04/09/2018 03:00:00","28.52"
"04/09/2018 02:30:00","24.03"
"04/09/2018 02:00:00","27.36"
"04/09/2018 01:30:00","25.69"
"04/09/2018 01:00:00","24.8"
"04/09/2018 00:30:00","25.11"
"04/09/2018 00:00:00","40.34"
"03/09/2018 23:30:00","35.25"
"03/09/2018 23:00:00","31.7"
"03/09/2018 22:30:00","29.5"
"03/09/2018 22:00:00","30.89"
"03/09/2018 21:30:00","30.7"
"03/09/2018 21:00:00","28.83"
"03/09/2018 20:30:00","27.89"
"03/09/2018 20:00:00","29.12"
"03/09/2018 19:30:00","32.63"
"03/09/2018 19:00:00","31.11"
"03/09/2018 18:30:00","30.73"
"03/09/2018 18:00:00","30.12"
"03/09/2018 17:30:00","33.18"
"03/09/2018 17:00:00","32.01"
"03/09/2018 16:30:00","37.67"
"03/09/2018 16:00:00","37.74"
"03/09/2018 15:30:00","36.99"
"03/09/2018 15:00:00","42.5"
"03/09/2018 14:30:00","44.23"
"03/09/2018 14:00:00","35.8"
"03/09/2018 13:30:00","34.63"
"03/09/2018 13:00:00","35"
"03/09/2018 12:30:00","34.19"
"03/09/2018 12:00:00","46.22"
"03/09/2018 11:30:00","40.59"
"03/09/2018 11:00:00","38.27"
"03/09/2018 10:30:00","40.57"
"03/09/2018 10:00:00","39.06"
"03/09/2018 09:30:00","33.69"
"03/09/2018 09:00:00","39.1"
"03/09/2018 08:30:00","44"
"03/09/2018 08:00:00","49.56"
"03/09/2018 07:30:00","43.78"
"03/09/2018 07:00:00","39.79"
"03/09/2018 06:30:00","33.5"
"03/09/2018 06:00:00","31.99"
"03/09/2018 05:30:00","34.47"
"03/09/2018 05:00:00","39.1"
"03/09/2018 04:30:00","38.5"
"03/09/2018 04:00:00","41.63"
"03/09/2018 03:30:00","38.72"
"03/09/2018 03:00:00","37.67"
"03/09/2018 02:30:00","32.15"
"03/09/2018 02:00:00","34.9"
"03/09/2018 01:30:00","33.53"
"03/09/2018 01:00:00","32.39"
"03/09/2018 00:30:00","28.77"
"16/09/2018 23:30:00","30.26"
"16/09/2018 23:00:00","30.09"
"16/09/2018 22:30:00","28.77"
"16/09/2018 22:00:00","25.84"
"16/09/2018 21:30:00","24.84"
"16/09/2018 21:00:00","26.34"
"16/09/2018 20:30:00","27.91"
"16/09/2018 20:00:00","28.53"
"16/09/2018 19:30:00","28.14"
"16/09/2018 19:00:00","25.62"
"16/09/2018 18:30:00","26.13"
"16/09/2018 18:00:00","30.29"
"16/09/2018 17:30:00","24.94"
"16/09/2018 17:00:00","25.66"
"16/09/2018 16:30:00","24.74"
"16/09/2018 16:00:00","25.61"
"16/09/2018 15:30:00","24.72"
"16/09/2018 15:00:00","24.98"
"16/09/2018 14:30:00","26.42"
"16/09/2018 14:00:00","25.22"
"16/09/2018 13:30:00","24.71"
"16/09/2018 13:00:00","26.29"
"16/09/2018 12:30:00","27.56"
"16/09/2018 12:00:00","26.13"
"16/09/2018 11:30:00","22"
"16/09/2018 11:00:00","26.96"
"16/09/2018 10:30:00","33.64"
"16/09/2018 10:00:00","36.77"
"16/09/2018 09:30:00","34.85"
"16/09/2018 09:00:00","36.61"
"16/09/2018 08:30:00","35.91"
"16/09/2018 08:00:00","36.59"
"16/09/2018 07:30:00","36.29"
"16/09/2018 07:00:00","36.89"
"16/09/2018 06:30:00","36.4"
"16/09/2018 06:00:00","37.55"
"16/09/2018 05:30:00","36.47"
"16/09/2018 05:00:00","39.27"
"16/09/2018 04:30:00","43.16"
"16/09/2018 04:00:00","41.3"
"16/09/2018 03:30:00","46.42"
"16/09/2018 03:00:00","53.48"
"16/09/2018 02:30:00","44.61"
"16/09/2018 02:00:00","42.55"
"16/09/2018 01:30:00","42.43"
"16/09/2018 01:00:00","40.6"
"16/09/2018 00:30:00","52.01"
"16/09/2018 00:00:00","43.49"
"15/09/2018 23:30:00","38.43"
"15/09/2018 23:00:00","31.99"
"15/09/2018 22:30:00","28.75"
"15/09/2018 22:00:00","25.88"
"15/09/2018 21:30:00","24.73"
"15/09/2018 21:00:00","29.45"
"15/09/2018 20:30:00","27.61"
"15/09/2018 20:00:00","27.74"
"15/09/2018 19:30:00","27.24"
"15/09/2018 19:00:00","26.17"
"15/09/2018 18:30:00","26.17"
"15/09/2018 18:00:00","29.05"
